208.0,1.0,4.0
208.0,16.0,1.5
208.0,17.0,5.0
208.0,28.0,4.0
208.0,29.0,5.0
208.0,32.0,3.0
208.0,36.0,5.0
208.0,47.0,3.5
208.0,50.0,4.5
208.0,110.0,3.5
208.0,111.0,5.0
208.0,116.0,3.5
208.0,121.0,5.0
208.0,125.0,4.0
208.0,150.0,5.0
208.0,162.0,4.0
208.0,176.0,4.0
208.0,194.0,3.0
208.0,213.0,5.0
208.0,215.0,5.0
208.0,223.0,3.5
208.0,232.0,4.0
208.0,246.0,4.5
208.0,247.0,4.0
208.0,260.0,4.5
208.0,272.0,4.0
208.0,290.0,3.5
208.0,296.0,5.0
208.0,306.0,4.0
208.0,307.0,4.0
208.0,308.0,3.0
208.0,314.0,3.0
208.0,318.0,4.5
208.0,319.0,3.0
208.0,334.0,5.0
208.0,337.0,4.0
208.0,356.0,1.0
208.0,363.0,4.5
208.0,364.0,3.5
208.0,373.0,3.5
208.0,428.0,4.0
208.0,446.0,4.0
208.0,456.0,3.0
208.0,457.0,5.0
208.0,475.0,5.0
208.0,483.0,2.0
208.0,497.0,3.0
208.0,501.0,4.0
208.0,508.0,1.5
208.0,527.0,4.5
208.0,529.0,4.0
208.0,535.0,4.0
208.0,541.0,4.5
208.0,549.0,4.5
208.0,555.0,2.5
208.0,556.0,4.0
208.0,562.0,4.0
208.0,581.0,3.5
208.0,589.0,2.5
208.0,593.0,4.5
208.0,608.0,4.0
208.0,678.0,4.5
208.0,714.0,3.0
208.0,720.0,4.0
208.0,728.0,4.0
208.0,745.0,4.0
208.0,750.0,4.0
208.0,778.0,4.0
208.0,800.0,5.0
208.0,838.0,3.0
208.0,858.0,5.0
208.0,898.0,5.0
208.0,899.0,4.0
208.0,903.0,5.0
208.0,904.0,5.0
208.0,905.0,5.0
208.0,908.0,5.0
208.0,909.0,4.0
208.0,910.0,4.5
208.0,912.0,5.0
208.0,913.0,3.0
208.0,919.0,5.0
208.0,920.0,4.0
208.0,921.0,4.0
208.0,922.0,4.0
208.0,923.0,4.5
208.0,924.0,4.0
208.0,926.0,5.0
208.0,928.0,4.0
208.0,930.0,4.5
208.0,936.0,4.0
208.0,944.0,3.0
208.0,946.0,4.0
208.0,947.0,4.0
208.0,950.0,4.0
208.0,951.0,4.0
208.0,953.0,4.5
208.0,954.0,4.5
208.0,955.0,4.5
208.0,969.0,4.0
208.0,994.0,3.5
208.0,1036.0,3.0
208.0,1041.0,4.0
208.0,1046.0,4.0
208.0,1060.0,3.0
208.0,1077.0,4.5
208.0,1078.0,4.0
208.0,1079.0,4.0
208.0,1080.0,3.0
208.0,1084.0,4.0
208.0,1089.0,4.0
208.0,1090.0,4.0
208.0,1096.0,4.0
